,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
0,2021,May,Sat,2021-05-01,50,Bronx,BRONX,Felony,Anti-jewish,Religion
1,2021,Dec,Tue,2021-12-28,50,Bronx,BRONX,Felony,Anti-jewish,Religion
2,2022,Oct,Tue,2022-10-11,49,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
3,2019,Jan,Tue,2019-01-15,61,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
4,2019,Feb,Fri,2019-02-08,71,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
5,2019,Apr,Sat,2019-04-06,94,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
6,2019,Mar,Sun,2019-03-17,70,Brooklyn south,KINGS,Misdemeanor,Anti-muslim,Religion
7,2019,Jul,Sun,2019-07-28,79,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
8,2019,Jul,Sun,2019-07-28,79,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
9,2020,May,Tue,2020-05-12,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
10,2020,Aug,Fri,2020-08-21,88,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
11,2020,Nov,Sat,2020-11-28,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
12,2020,Dec,Sat,2020-12-26,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
13,2021,Jun,Fri,2021-06-18,77,Brooklyn north,KINGS,Misdemeanor,Anti-asian,Race/Color
14,2021,Dec,Mon,2021-12-20,71,Brooklyn south,KINGS,Felony,Anti-black,Race/Color
15,2019,Mar,Sun,2019-03-10,48,Bronx,BRONX,Misdemeanor,Anti-white,Race/Color
16,2020,Mar,Sat,2020-03-28,44,Bronx,BRONX,Felony,Anti-asian,Race/Color
17,2020,Mar,Sat,2020-03-28,44,Bronx,BRONX,Felony,Anti-asian,Race/Color
18,2020,Jul,Sat,2020-07-18,45,Bronx,BRONX,Misdemeanor,Anti-black,Race/Color
19,2021,Apr,Sun,2021-04-25,50,Bronx,BRONX,Felony,Anti-jewish,Religion
20,2022,Feb,Tue,2022-02-15,46,Bronx,BRONX,Misdemeanor,Anti-female homosexual (lesbian),Sexual Orientation
21,2019,Jan,Sun,2019-01-06,70,Brooklyn south,KINGS,Misdemeanor,Anti-white,Race/Color
22,2019,Jun,Mon,2019-06-10,94,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
23,2019,Jun,Sat,2019-06-22,81,Brooklyn north,KINGS,Felony,Anti-transgender,Gender
24,2020,May,Sun,2020-05-10,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
25,2021,Apr,Mon,2021-04-05,61,Brooklyn south,KINGS,Felony,Anti-asian,Race/Color
26,2021,Jun,Tue,2021-06-15,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
27,2021,Sep,Sat,2021-09-04,83,Brooklyn north,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
28,2021,Oct,Fri,2021-10-08,71,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
29,2022,Feb,Wed,2022-02-09,90,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
30,2019,Mar,Sat,2019-03-09,48,Bronx,BRONX,Misdemeanor,Anti-white,Race/Color
31,2019,May,Sat,2019-05-11,42,Bronx,BRONX,Felony,Anti-muslim,Religion
32,2020,Jul,Fri,2020-07-31,40,Bronx,BRONX,Felony,Anti-asian,Race/Color
33,2020,Oct,Thu,2020-10-08,48,Bronx,BRONX,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
34,2021,Oct,Mon,2021-10-11,52,Bronx,BRONX,Felony,Anti-transgender,Gender
35,2021,Sep,Tue,2021-09-14,47,Bronx,BRONX,Felony,Anti-jewish,Religion
36,2024,Jun,Sun,2024-06-02,44,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
37,2024,Aug,Thu,2024-08-01,52,Bronx,BRONX,Felony,Anti-transgender,Gender
38,2019,Feb,Mon,2019-02-04,60,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
39,2019,Mar,Fri,2019-03-29,79,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
40,2019,Jul,Sat,2019-07-13,76,Brooklyn south,KINGS,Felony,Anti-male homosexual (gay),Sexual Orientation
41,2019,Nov,Sun,2019-11-24,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
42,2020,Jan,Tue,2020-01-21,71,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
43,2020,Dec,Mon,2020-12-28,90,Brooklyn north,KINGS,Misdemeanor,Anti-female,Gender
44,2021,May,Fri,2021-05-14,62,Brooklyn south,KINGS,Felony,Anti-catholic,Religion
45,2019,Feb,Fri,2019-02-08,46,Bronx,BRONX,Felony,Anti-male homosexual (gay),Sexual Orientation
46,2020,Feb,Thu,2020-02-06,44,Bronx,BRONX,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
47,2020,Apr,Sun,2020-04-12,49,Bronx,BRONX,Felony,Anti-jewish,Religion
48,2021,Apr,Sun,2021-04-25,50,Bronx,BRONX,Misdemeanor,Anti-jewish,Religion
49,2021,Sep,Mon,2021-09-06,47,Bronx,BRONX,Felony,Anti-jewish,Religion
